query,relevant_ids,retrieved_ids,mrr,precision@1,recall@1,ndcg@1,precision@3,recall@3,ndcg@3,precision@5,recall@5,ndcg@5,,query,relevant_ids,retrieved_ids,mrr,precision@1,recall@1,ndcg@1,precision@3,recall@3,ndcg@3,precision@5,recall@5,ndcg@5
What is the minimum age for a child to be held criminally liable?,penal_Article_40,penal_Article_40;penal_Article_113;penal_Article_425,1,1,1,1,0.3333,1,1,0.2,1,1,,What is Galungan?,ceremony_1,ceremony_1;ceremony_2;ceremony_7;ceremony_13;ceremony_12;taboo_1;taboo_21;ceremony_5,1,1,1,1,0.3333,1,1,0.2,1,1
Who is considered a 'Child' under the Penal Code?,penal_Article_150,penal_Article_113;penal_Article_425;penal_Article_291,0,0,0,0,0,0,0,0,0,0,,When does Nyepi happen?,ceremony_3,ceremony_3;taboo_31;ceremony_4;ceremony_19;ceremony_8;ceremony_10;ceremony_2;ceremony_6;ceremony_16;taboo_11,1,1,1,1,0.3333,1,1,0.2,1,1
What are the five main types of principal sentences a judge can impose?,penal_Article_65,penal_Article_115;penal_Article_65;penal_Article_57,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309,,What should tourists wear to enter a Balinese temple?,ceremony_7;taboo_2,taboo_27;ceremony_7;taboo_2;ceremony_23;ceremony_1;taboo_7;ceremony_4;ceremony_19;ceremony_6;taboo_29,0.5,0,0,0,0.6667,1,0.6934,0.4,1,0.6934
How many years of probation are mandatory for capital punishment?,penal_Article_100,penal_Article_100;penal_Article_76;penal_Article_73,1,1,1,1,0.3333,1,1,0.2,1,1,,What is a penjor?,ceremony_1,ceremony_1;ceremony_6;taboo_28;taboo_26;taboo_21;ceremony_5;taboo_6;ceremony_22;taboo_15;taboo_14,1,1,1,1,0.3333,1,1,0.2,1,1
Why is capital punishment treated as a special sentence rather than a principal one?,penal_Article_67;penal_Article_98,penal_Article_67;penal_Article_125;penal_Article_130,1,1,0.5,1,0.3333,0.5,0.6131,0.2,0.5,0.6131,,What happens during the Day of Silence?,ceremony_3,taboo_31;ceremony_3;taboo_32;taboo_28;taboo_39;ceremony_2;taboo_1;ceremony_5;ceremony_1;ceremony_6,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309
Until when can a criminal complaint be withdrawn by the victim?,,penal_Article_412;penal_Article_411;penal_Article_30,0,0,0,0,0,0,0,0,0,0,,What is Melasti?,ceremony_4,ceremony_4;taboo_14;ceremony_3;taboo_11;ceremony_8;ceremony_22;ceremony_10;ceremony_14;ceremony_13;ceremony_5,1,1,1,1,0.3333,1,1,0.2,1,1
Who has the right to file a complaint if a victim is under 16 years old?,penal_Article_25,penal_Article_25;penal_Article_412;penal_Article_411,1,1,1,1,0.3333,1,1,0.2,1,1,,Why do Balinese cremate their dead?,ceremony_8,ceremony_8;ceremony_9;ceremony_4;ceremony_23;ceremony_1;ceremony_5;ceremony_7;taboo_27;taboo_13;ceremony_10,1,1,1,1,0.3333,1,1,0.2,1,1
How is the term 'Person' defined in the Penal Code?,penal_Article_145,penal_Article_22;penal_Article_145;penal_Article_248,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309,,What is the Ogoh-Ogoh parade?,ceremony_19;ceremony_3,ceremony_19;ceremony_3;taboo_14;ceremony_7;ceremony_8;ceremony_15;ceremony_21;ceremony_14;ceremony_2;ceremony_10,1,1,0.5,1,0.6667,1,1,0.4,1,1
What items are categorized as 'Goods' under the law?,penal_Article_147,penal_Article_147;penal_Article_614;penal_Article_489,1,1,1,1,0.3333,1,1,0.2,1,1,,Who is the goddess Saraswati?,ceremony_5,ceremony_5;ceremony_6;ceremony_1;ceremony_11;ceremony_3;ceremony_23;ceremony_4;taboo_1;taboo_30;ceremony_16,1,1,1,1,0.3333,1,1,0.2,1,1
What is the maximum imprisonment for standard murder?,penal_Article_458,penal_Article_458;penal_Article_416;penal_Article_599,1,1,1,1,0.3333,1,1,0.2,1,1,,When should tourists stay inside their hotel?,ceremony_3;taboo_31,ceremony_19;ceremony_6;taboo_31;ceremony_1;ceremony_2;ceremony_4;ceremony_16;ceremony_8;taboo_34;ceremony_7,0.3333,0,0,0,0.3333,0.5,0.3066,0.2,0.5,0.3066
